County,Year,NumTrans,TotMME,TotDU,Suicides,PopCDC,PerCapIncome,FIPS
McDowell,2011,4659.0,20923417.267500103,2242610.0,3.0,21729.0,27580.0,54047.0
McDowell,2012,4314.0,19358199.06000007,2121720.0,7.0,21326.0,29049.0,54047.0
McDowell,2013,4171.0,20487850.530000106,2033810.0,10.0,20876.0,28437.0,54047.0
McDowell,2014,2682.0,18649448.812499985,1769300.0,6.0,20448.0,27567.0,54047.0
Mercer,2006,9338.0,27639658.88308779,3755660.0,19.0,61297.0,27837.0,54055.0
Mercer,2007,9536.0,30792800.03275028,4153310.0,12.0,61615.0,28796.0,54055.0
Mercer,2008,9721.0,32970202.91286277,4319100.0,13.0,61848.0,30215.0,54055.0
Mercer,2009,9406.0,32773324.432500314,4449930.0,11.0,62177.0,31251.0,54055.0
Mercer,2010,9402.0,33462934.620000284,4440660.0,17.0,62264.0,31978.0,54055.0
Mercer,2011,10064.0,37202675.33999994,5055230.0,14.0,62465.0,32767.0,54055.0
Mercer,2012,9976.0,42284102.97408733,5184400.0,14.0,62523.0,33825.0,54055.0
Mercer,2013,9866.0,44607562.00181217,5186670.0,18.0,61984.0,33276.0,54055.0
Mercer,2014,7454.0,42924464.76022494,4808980.0,14.0,61785.0,33752.0,54055.0
Mineral,2006,2756.0,6372299.570362488,849670.0,9.0,27324.0,26696.0,54057.0
Mineral,2007,3226.0,7848704.047500006,1028400.0,3.0,27532.0,27782.0,54057.0
Mineral,2008,3804.0,9627304.721000068,1210110.0,1.0,27824.0,28882.0,54057.0
Mineral,2009,3737.0,10668814.991362572,1264440.0,5.0,28080.0,29870.0,54057.0
Mineral,2010,3929.0,11189134.89750011,1278820.0,3.0,28212.0,31209.0,54057.0
Mineral,2011,4266.0,11688497.055000106,1314980.0,4.0,28192.0,32543.0,54057.0
Mineral,2012,3863.0,10915319.865000084,1247110.0,5.0,27956.0,33125.0,54057.0
Mineral,2013,3898.0,11315264.1675001,1270940.0,3.0,27704.0,33699.0,54057.0
Mineral,2014,3193.0,12103424.100000007,1282770.0,6.0,27578.0,34493.0,54057.0
Mingo,2006,4192.0,29595207.120000005,4691980.0,3.0,27054.0,25868.0,54059.0
Mingo,2007,5389.0,44548906.60499963,7511830.0,2.0,27145.0,27625.0,54059.0
Mingo,2008,7496.0,58189238.8539996,9795100.0,3.0,26850.0,31599.0,54059.0
Mingo,2009,7227.0,47202645.76886223,7464630.0,4.0,26943.0,30182.0,54059.0
Mingo,2010,4466.0,23487098.40000005,3162950.0,2.0,26839.0,30588.0,54059.0
Mingo,2011,4243.0,21847008.76545006,2863950.0,5.0,26563.0,33498.0,54059.0
Mingo,2012,4141.0,22509504.27750001,2779190.0,4.0,26103.0,34110.0,54059.0
Mingo,2013,4189.0,23812089.40522497,2562840.0,4.0,25900.0,31536.0,54059.0
Mingo,2014,3784.0,25053301.25250001,2414610.0,8.0,25716.0,30032.0,54059.0
Monongalia,2006,9032.0,21096093.40006267,2751620.0,5.0,89656.0,30783.0,54061.0
Monongalia,2007,10532.0,25090792.09395007,3319650.0,7.0,90764.0,31743.0,54061.0
Monongalia,2008,10378.0,27774618.36721254,3573330.0,4.0,92200.0,33673.0,54061.0
Monongalia,2009,10786.0,32518173.08062486,3920150.0,12.0,94165.0,34445.0,54061.0
Monongalia,2010,11375.0,33893429.47691249,3958427.0,9.0,96189.0,36148.0,54061.0
Monongalia,2011,11711.0,35543353.02108716,4160910.0,10.0,98528.0,37217.0,54061.0
Monongalia,2012,12539.0,39656787.35902451,4275790.0,17.0,100332.0,38062.0,54061.0
Monongalia,2013,12780.0,35445627.58743697,3931940.0,10.0,102274.0,37738.0,54061.0
Monongalia,2014,10860.0,36828366.73181233,3879290.0,19.0,103463.0,39762.0,54061.0
Monroe,2006,890.0,2900459.197499996,385440.0,2.0,13382.0,22303.0,54063.0
Monroe,2007,1054.0,3673757.894999995,455940.0,4.0,13452.0,22922.0,54063.0
Monroe,2008,1068.0,3666101.024999995,458500.0,1.0,13607.0,23771.0,54063.0
Monroe,2009,1069.0,3144016.364999995,405280.0,2.0,13543.0,24048.0,54063.0
Monroe,2010,1031.0,3583755.8099999926,378170.0,2.0,13502.0,25539.0,54063.0
Monroe,2011,1122.0,3810726.104999991,390310.0,1.0,13534.0,26916.0,54063.0
Monroe,2012,1201.0,3510949.4174999883,394730.0,1.0,13463.0,27574.0,54063.0
Monroe,2013,1190.0,4553747.362499984,408900.0,1.0,13483.0,27350.0,54063.0
Monroe,2014,1128.0,5728998.659999997,447820.0,1.0,13582.0,28342.0,54063.0
Morgan,2006,1008.0,5912461.912499991,594800.0,5.0,17038.0,27012.0,54065.0
Morgan,2007,1132.0,6449796.854999991,667700.0,4.0,17410.0,27457.0,54065.0
Morgan,2008,1226.0,7393574.0715000015,752600.0,2.0,17520.0,28043.0,54065.0
Morgan,2009,1149.0,7838265.791362496,775900.0,3.0,17580.0,27691.0,54065.0
Morgan,2010,1198.0,7776233.159999997,732770.0,0.0,17541.0,28219.0,54065.0
Morgan,2011,1328.0,8294425.338862501,775670.0,3.0,17535.0,29401.0,54065.0
Morgan,2012,1342.0,9140702.647500005,796870.0,5.0,17471.0,30316.0,54065.0
Morgan,2013,1114.0,7195345.597500003,605990.0,3.0,17498.0,29923.0,54065.0
Morgan,2014,972.0,6203189.647500003,561770.0,1.0,17453.0,30670.0,54065.0
Nicholas,2006,4041.0,13257835.911000092,1939200.0,6.0,26205.0,24992.0,54067.0
Nicholas,2007,4591.0,15166394.847000126,2125050.0,8.0,26130.0,26857.0,54067.0
Nicholas,2008,4759.0,18970073.775000114,2408050.0,5.0,26138.0,29172.0,54067.0
Nicholas,2009,5114.0,22608591.60772504,2661180.0,2.0,26253.0,29613.0,54067.0
