County,Year,NumTrans,TotMME,TotDU
Preston,2009,2402.0,5612119.499999993,814000.0
Preston,2010,2728.0,6185943.82499999,852480.0
Preston,2011,2834.0,7061752.072500001,952670.0
Preston,2012,2870.0,7034727.022500007,972240.0
Preston,2013,3148.0,8492464.162500037,1083610.0
Preston,2014,2959.0,10582471.815000009,1228280.0
Putnam,2006,5312.0,14939532.362500254,2043540.0
Putnam,2007,6361.0,18316147.745000258,2501460.0
Putnam,2008,7005.0,20848499.144725222,2774320.0
Putnam,2009,6934.0,22858557.643387746,2876730.0
Putnam,2010,7167.0,24620141.65065012,2958090.0
Putnam,2011,7180.0,26017535.397712667,3141460.0
Putnam,2012,7840.0,29938347.6797626,3217840.0
Putnam,2013,8353.0,29561891.31408734,3202980.0
Putnam,2014,7360.0,35454601.23000002,3433760.0
Raleigh,2006,12382.0,43201490.118498705,5237280.0
Raleigh,2007,14946.0,58483535.114172615,6354250.0
Raleigh,2008,14901.0,65266448.41249761,6720220.0
Raleigh,2009,16015.0,71659113.17999797,7105670.0
Raleigh,2010,16296.0,81620852.69272394,7226630.0
Raleigh,2011,17013.0,122780635.92750032,8892040.0
Raleigh,2012,16700.0,147761338.77022588,9661830.0
Raleigh,2013,16226.0,128376246.03000066,8508500.0
Raleigh,2014,13249.0,101113351.36522469,7388690.0
Randolph,2006,3132.0,8531010.727499973,1208620.0
Randolph,2007,3640.0,9038900.666812487,1242390.0
Randolph,2008,4027.0,11035103.286225094,1481830.0
Randolph,2009,4072.0,11917504.920000095,1583630.0
Randolph,2010,4177.0,11905376.902500078,1590630.0
Randolph,2011,4465.0,13332585.502500117,1755380.0
Randolph,2012,4937.0,13427748.292500116,1754960.0
Randolph,2013,5238.0,12704260.455000153,1725210.0
Randolph,2014,4212.0,13277788.785000043,1724570.0
Ritchie,2006,629.0,1111456.7000000011,227800.0
Ritchie,2007,774.0,1406938.4360000002,281800.0
Ritchie,2008,1030.0,1683147.2595000004,331000.0
Ritchie,2009,955.0,1702986.375000001,340300.0
Ritchie,2010,1069.0,2044297.889999998,367280.0
Ritchie,2011,1174.0,2538829.567499998,442220.0
Ritchie,2012,1110.0,2738518.4924999974,464170.0
Ritchie,2013,993.0,2404404.022499999,423460.0
Ritchie,2014,787.0,2405774.9400000004,406680.0
Roane,2006,1772.0,4378514.849999958,622900.0
Roane,2007,2014.0,4117831.814999964,589330.0
Roane,2008,2315.0,4773600.914999954,681330.0
Roane,2009,2246.0,5218712.812499965,760050.0
Roane,2010,2566.0,6021981.224999972,840760.0
Roane,2011,2550.0,5582849.22022497,834750.0
Roane,2012,2678.0,5721575.296349989,827580.0
Roane,2013,2756.0,4518313.76362499,697200.0
Roane,2014,2004.0,5046246.421349986,719650.0
Summers,2006,1326.0,2992889.1152249933,425950.0
Summers,2007,1371.0,3491224.7524999892,488500.0
Summers,2008,1594.0,4561766.849999994,581420.0
Summers,2009,1745.0,5747167.987499995,714800.0
Summers,2010,1800.0,6417330.517499987,740480.0
Summers,2011,1817.0,7103557.604999997,767850.0
Summers,2012,1814.0,7780190.602499991,796340.0
Summers,2013,1730.0,8595223.942499999,815280.0
Summers,2014,1290.0,8461192.934999991,793890.0
Taylor,2006,1348.0,3774698.824999977,492600.0
Taylor,2007,1505.0,4299608.649999985,574900.0
Taylor,2008,1477.0,4749225.637499991,591700.0
